Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;966,94000;10,00;1,18;-3,78613;
1,002;966,94000;10,00;1,18;-3,78613;
2,009;966,74000;10,00;1,18;-3,78604;
3,015;886,33000;10,00;1,22;-3,75022;
4,025;638,54000;10,00;1,36;-3,61493;
5,034;504,19000;10,00;1,45;-3,51746;
6,039;403,65000;10,00;1,54;-3,42570;
7,044;324,87000;10,00;1,63;-3,33612;
8,050;262,58000;10,00;1,72;-3,24830;
9,050;213,15000;10,00;1,81;-3,16225;
10,058;173,96000;10,00;1,89;-3,07843;
11,066;142,28000;10,00;1,97;-2,99549;
12,075;116,52000;10,00;2,06;-2,91308;
13,080;95,76500;10,00;2,14;-2,83215;
14,083;78,81700;10,00;2,22;-2,75179;
15,092;65,14400;10,00;2,30;-2,67318;
16,094;53,93900;10,00;2,37;-2,59531;
17,100;44,63800;10,00;2,45;-2,51722;
18,101;36,98600;10,00;2,53;-2,43964;
19,106;30,91800;10,00;2,60;-2,36570;
20,110;25,75700;10,00;2,68;-2,29035;
21,115;21,47900;10,00;2,75;-2,21541;
22,117;18,21700;10,00;2,82;-2,14745;
23,123;15,43600;10,00;2,89;-2,07911;
24,126;13,16000;10,00;2,96;-2,01329;
25,128;11,76500;10,00;3,00;-1,96706;
26,133;10,30900;10,00;3,06;-1,91256;
27,138;8,94630;10,00;3,12;-1,85406;
28,142;7,76440;10,00;3,17;-1,79560;
29,146;6,75040;10,00;3,23;-1,73786;
30,152;5,87260;10,00;3,29;-1,68039;
31,152;5,14100;10,00;3,34;-1,62550;
32,161;4,56660;10,00;3,39;-1,57661;
33,167;4,02100;10,00;3,45;-1,52412;
34,170;3,56280;10,00;3,50;-1,47420;
35,179;3,14630;10,00;3,55;-1,42291;
36,181;2,81990;10,00;3,59;-1,37772;
37,183;2,57090;10,00;3,63;-1,33958;
38,192;2,31620;10,00;3,67;-1,29654;
39,197;2,03350;10,00;3,73;-1,24283;
40,206;1,82000;10,00;3,77;-1,19707;
41,208;1,64670;10,00;3,81;-1,15578;
42,212;1,48680;10,00;3,86;-1,11364;
43,214;1,35780;10,00;3,89;-1,07619;
44,214;1,25320;10,00;3,93;-1,04312;
45,223;1,13500;10,00;3,97;-1,00225;
46,234;1,04570;10,00;4,00;-0,96844;
47,238;0,98660;10,00;4,03;-0,94443;
48,244;0,92718;10,00;4,05;-0,91881;
49,245;0,87570;10,00;4,07;-0,89524;
50,246;0,82853;10,00;4,10;-0,87239;
51,246;0,78979;10,00;4,12;-0,85264;
52,251;0,77026;10,00;4,13;-0,84231;
53,260;0,73442;10,00;4,15;-0,82265;
54,262;0,73257;10,00;4,15;-0,82161;
55,269;0,72034;10,00;4,16;-0,81466;
56,276;0,71055;10,00;4,16;-0,80901;
57,287;0,70452;10,00;4,16;-0,80550;
58,293;0,69062;10,00;4,17;-0,79728;
59,295;0,68980;10,00;4,17;-0,79679;
60,297;0,68979;10,00;4,17;-0,79678;
61,298;0,69202;10,00;4,17;-0,79811;
62,302;0,66402;10,00;4,19;-0,78107;
63,306;0,64879;10,00;4,20;-0,77150;
64,310;0,64612;10,00;4,20;-0,76980;
65,312;0,49092;10,00;4,31;-0,65646;
66,315;0,48105;10,00;4,32;-0,64808;
67,322;0,47339;10,00;4,33;-0,64146;
68,322;0,47708;10,00;4,33;-0,64466;
69,331;0,49285;10,00;4,31;-0,65808;
70,341;0,51196;10,00;4,30;-0,67377;
71,349;0,53039;10,00;4,28;-0,68837;
72,350;0,54654;10,00;4,27;-0,70074;
73,357;0,55910;10,00;4,26;-0,71012;
74,360;0,56594;10,00;4,25;-0,71513;
75,369;0,56721;10,00;4,25;-0,71606;
76,370;0,56358;10,00;4,26;-0,71341;
77,380;0,55434;10,00;4,26;-0,70659;
78,384;0,54266;10,00;4,27;-0,69780;
79,386;0,53021;10,00;4,28;-0,68823;
80,386;0,51781;10,00;4,29;-0,67846;
81,394;0,50575;10,00;4,30;-0,66874;
82,396;0,49449;10,00;4,31;-0,65945;
83,401;0,48471;10,00;4,32;-0,65121;
84,404;0,47715;10,00;4,33;-0,64472;
85,406;0,47211;10,00;4,33;-0,64034;
86,407;0,46938;10,00;4,33;-0,63795;
87,408;0,46853;10,00;4,33;-0,63720;
88,411;0,46878;10,00;4,33;-0,63742;
89,415;0,46960;10,00;4,33;-0,63814;
90,420;0,47142;10,00;4,33;-0,63974;
91,421;0,47328;10,00;4,33;-0,64136;
92,425;0,47466;10,00;4,33;-0,64256;
93,429;0,47565;10,00;4,33;-0,64342;
94,437;0,47615;10,00;4,33;-0,64386;
95,438;0,47617;10,00;4,33;-0,64387;
96,462;0,47574;10,00;4,33;-0,64350;
97,471;0,47491;10,00;4,33;-0,64278;
98,473;0,47370;10,00;4,33;-0,64173;
99,482;0,47218;10,00;4,33;-0,64040;
100,487;0,47040;10,00;4,33;-0,63884;
101,493;0,46839;10,00;4,33;-0,63708;
102,503;0,46619;10,00;4,33;-0,63513;
103,503;0,46385;10,00;4,34;-0,63306;
104,508;0,46139;10,00;4,34;-0,63086;
105,509;0,45886;10,00;4,34;-0,62860;
106,515;0,45626;10,00;4,34;-0,62625;
107,516;0,45359;10,00;4,35;-0,62383;
108,526;0,45088;10,00;4,35;-0,62136;
109,529;0,44814;10,00;4,35;-0,61884;
110,530;0,44547;10,00;4,35;-0,61638;
111,534;0,44325;10,00;4,36;-0,61432;
112,542;0,44146;10,00;4,36;-0,61265;
113,546;0,44061;10,00;4,36;-0,61185;
114,552;0,44070;10,00;4,36;-0,61194;
115,558;0,44122;10,00;4,36;-0,61242;
116,564;0,44180;10,00;4,36;-0,61296;
117,572;0,44226;10,00;4,36;-0,61339;
118,576;0,44247;10,00;4,36;-0,61359;
119,580;0,44241;10,00;4,36;-0,61353;
120,586;0,44210;10,00;4,36;-0,61324;
121,593;0,44157;10,00;4,36;-0,61275;
122,599;0,44082;10,00;4,36;-0,61205;
123,603;0,43989;10,00;4,36;-0,61118;
124,612;0,43879;10,00;4,36;-0,61014;
125,614;0,43755;10,00;4,36;-0,60898;
126,618;0,43618;10,00;4,36;-0,60768;
127,623;0,43473;10,00;4,36;-0,60631;
128,628;0,43321;10,00;4,37;-0,60486;
129,636;0,43161;10,00;4,37;-0,60334;
130,637;0,43014;10,00;4,37;-0,60193;
131,641;0,42921;10,00;4,37;-0,60104;
132,650;0,42866;10,00;4,37;-0,60051;
133,656;0,42823;10,00;4,37;-0,60009;
134,659;0,42781;10,00;4,37;-0,59969;
135,663;0,42729;10,00;4,37;-0,59919;
136,670;0,42666;10,00;4,37;-0,59858;
137,678;0,42592;10,00;4,37;-0,59786;
138,682;0,42508;10,00;4,37;-0,59705;
