Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;966,38000;10,00;3,48;-1,88589;
1,002;966,33000;10,00;3,48;-1,88587;
2,009;965,95000;10,00;3,48;-1,88571;
3,013;784,26000;10,00;3,56;-1,79974;
4,015;592,74000;10,00;3,68;-1,68422;
5,020;471,26000;10,00;3,77;-1,58960;
6,022;378,00000;10,00;3,86;-1,49862;
7,027;304,73000;10,00;3,95;-1,40972;
8,028;246,74000;10,00;4,04;-1,32263;
9,033;200,67000;10,00;4,13;-1,23736;
10,039;164,05000;10,00;4,21;-1,15423;
11,046;134,26000;10,00;4,29;-1,07155;
12,048;110,15000;10,00;4,37;-0,98989;
13,056;90,68800;10,00;4,45;-0,90967;
14,061;74,76300;10,00;4,53;-0,83000;
15,063;62,02800;10,00;4,61;-0,75296;
16,070;51,41800;10,00;4,69;-0,67556;
17,077;42,79700;10,00;4,76;-0,59984;
18,080;35,80200;10,00;4,84;-0,52621;
19,083;30,15200;10,00;4,91;-0,45535;
20,087;25,47900;10,00;4,98;-0,38587;
21,090;22,04500;10,00;5,04;-0,32614;
22,092;19,06000;10,00;5,10;-0,26612;
23,099;16,80700;10,00;5,15;-0,21422;
24,100;15,45000;10,00;5,18;-0,17948;
25,104;14,12100;10,00;5,22;-0,14237;
26,108;12,93800;10,00;5,26;-0,10627;
27,116;11,96500;10,00;5,29;-0,07402;
28,119;11,27600;10,00;5,31;-0,04955;
29,123;10,72400;10,00;5,33;-0,02884;
30,128;10,36400;10,00;5,35;-0,01475;
31,133;10,09600;10,00;5,36;-0,00394;
32,136;9,90550;10,00;5,37;0,00392;
33,137;9,87190;10,00;5,37;0,00532;
34,144;9,94020;10,00;5,37;0,00247;
35,150;10,08700;10,00;5,36;-0,00357;
36,155;10,16100;10,00;5,36;-0,00659;
37,159;10,21100;10,00;5,35;-0,00861;
38,164;10,25400;10,00;5,35;-0,01035;
39,167;10,28700;10,00;5,35;-0,01167;
40,172;10,32600;10,00;5,35;-0,01324;
41,174;10,34400;10,00;5,35;-0,01395;
42,183;10,37100;10,00;5,35;-0,01503;
43,192;10,38400;10,00;5,35;-0,01555;
44,202;10,42400;10,00;5,35;-0,01713;
45,209;10,42800;10,00;5,35;-0,01729;
46,211;10,42700;10,00;5,35;-0,01725;
47,212;10,43000;10,00;5,35;-0,01737;
48,214;10,45800;10,00;5,34;-0,01848;
49,214;10,47000;10,00;5,34;-0,01895;
50,223;10,44600;10,00;5,35;-0,01800;
51,226;10,46300;10,00;5,34;-0,01867;
52,230;10,47100;10,00;5,34;-0,01899;
53,234;10,47200;10,00;5,34;-0,01903;
54,240;10,45400;10,00;5,35;-0,01832;
55,245;10,43500;10,00;5,35;-0,01757;
56,250;10,45400;10,00;5,35;-0,01832;
57,254;10,46400;10,00;5,34;-0,01871;
58,257;10,46700;10,00;5,34;-0,01883;
59,259;10,46800;10,00;5,34;-0,01887;
60,268;10,47200;10,00;5,34;-0,01903;
61,272;10,46700;10,00;5,34;-0,01883;
62,278;10,44000;10,00;5,35;-0,01777;
63,282;10,42900;10,00;5,35;-0,01733;
64,282;10,42800;10,00;5,35;-0,01729;
65,286;10,42900;10,00;5,35;-0,01733;
66,291;10,42900;10,00;5,35;-0,01733;
67,293;10,43200;10,00;5,35;-0,01745;
68,297;10,43100;10,00;5,35;-0,01741;
69,300;10,43000;10,00;5,35;-0,01737;
70,303;10,42700;10,00;5,35;-0,01725;
71,305;10,42900;10,00;5,35;-0,01733;
72,311;10,43000;10,00;5,35;-0,01737;
73,317;10,42800;10,00;5,35;-0,01729;
74,319;10,42800;10,00;5,35;-0,01729;
75,327;10,42700;10,00;5,35;-0,01725;
76,331;10,42800;10,00;5,35;-0,01729;
77,337;10,42700;10,00;5,35;-0,01725;
78,338;10,42900;10,00;5,35;-0,01733;
79,347;10,42700;10,00;5,35;-0,01725;
