Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;967,07000;10,00;0,39;-6,22732;
1,009;967,00000;10,00;0,39;-6,22703;
2,016;966,37000;10,00;0,39;-6,22446;
3,023;752,56000;10,00;1,38;-5,23633;
4,027;578,19000;10,00;2,42;-4,19481;
5,036;461,26000;10,00;3,31;-3,30202;
6,041;370,80000;10,00;4,17;-2,43942;
7,042;299,48000;10,00;5,02;-1,59532;
8,043;243,08000;10,00;5,84;-0,77082;
9,052;200,83000;10,00;6,60;-0,01636;
10,053;181,13000;10,00;7,01;0,39160;
11,062;187,35000;10,00;6,87;0,25818;
12,063;204,23000;10,00;6,53;-0,08270;
13,071;210,38000;10,00;6,41;-0,19994;
14,079;204,93000;10,00;6,52;-0,09622;
15,083;196,79000;10,00;6,68;0,06394;
16,085;193,17000;10,00;6,75;0,13730;
17,093;195,13000;10,00;6,71;0,09741;
18,099;199,76000;10,00;6,62;0,00474;
19,103;202,54000;10,00;6,56;-0,04987;
20,104;202,19000;10,00;6,57;-0,04303;
21,106;200,55000;10,00;6,60;-0,01085;
22,110;198,56000;10,00;6,64;0,02855;
23,111;196,92000;10,00;6,68;0,06133;
24,119;196,29000;10,00;6,69;0,07399;
25,122;197,03000;10,00;6,67;0,05912;
26,129;198,51000;10,00;6,64;0,02955;
27,130;199,84000;10,00;6,62;0,00316;
28,134;200,44000;10,00;6,61;-0,00868;
29,136;200,17000;10,00;6,61;-0,00336;
30,139;199,20000;10,00;6,63;0,01584;
31,142;198,05000;10,00;6,65;0,03872;
32,144;197,31000;10,00;6,67;0,05351;
33,148;197,18000;10,00;6,67;0,05611;
34,153;197,71000;10,00;6,66;0,04551;
35,158;198,56000;10,00;6,64;0,02855;
36,165;199,34000;10,00;6,63;0,01306;
37,169;199,80000;10,00;6,62;0,00395;
38,176;199,79000;10,00;6,62;0,00415;
39,180;199,34000;10,00;6,63;0,01306;
40,187;198,76000;10,00;6,64;0,02458;
41,192;198,25000;10,00;6,65;0,03473;
42,196;197,91000;10,00;6,66;0,04151;
43,204;197,81000;10,00;6,66;0,04351;
44,210;197,96000;10,00;6,65;0,04051;
45,216;198,37000;10,00;6,65;0,03234;
46,223;198,79000;10,00;6,64;0,02398;
47,227;199,18000;10,00;6,63;0,01623;
48,236;199,48000;10,00;6,62;0,01029;
49,243;199,52000;10,00;6,62;0,00949;
50,248;199,38000;10,00;6,63;0,01227;
51,250;199,15000;10,00;6,63;0,01683;
52,253;198,95000;10,00;6,64;0,02080;
53,258;198,79000;10,00;6,64;0,02398;
54,261;198,66000;10,00;6,64;0,02656;
55,271;198,56000;10,00;6,64;0,02855;
56,279;198,48000;10,00;6,64;0,03015;
57,283;198,43000;10,00;6,65;0,03114;
58,292;198,38000;10,00;6,65;0,03214;
59,297;198,36000;10,00;6,65;0,03254;
60,304;198,46000;10,00;6,64;0,03054;
61,313;198,58000;10,00;6,64;0,02816;
62,314;198,68000;10,00;6,64;0,02617;
63,322;198,76000;10,00;6,64;0,02458;
64,328;198,82000;10,00;6,64;0,02338;
65,332;198,86000;10,00;6,64;0,02259;
66,337;198,88000;10,00;6,64;0,02219;
67,340;198,88000;10,00;6,64;0,02219;
68,345;198,88000;10,00;6,64;0,02219;
69,348;198,91000;10,00;6,64;0,02159;
70,354;198,94000;10,00;6,64;0,02100;
71,359;198,95000;10,00;6,64;0,02080;
72,362;198,96000;10,00;6,63;0,02060;
73,372;198,96000;10,00;6,63;0,02060;
74,373;198,96000;10,00;6,63;0,02060;
75,378;198,97000;10,00;6,63;0,02040;
76,383;199,00000;10,00;6,63;0,01981;
77,383;199,01000;10,00;6,63;0,01961;
78,385;199,01000;10,00;6,63;0,01961;
79,395;199,01000;10,00;6,63;0,01961;
80,397;199,00000;10,00;6,63;0,01981;
81,402;199,00000;10,00;6,63;0,01981;
82,413;199,00000;10,00;6,63;0,01981;
83,417;199,04000;10,00;6,63;0,01901;
84,418;199,05000;10,00;6,63;0,01881;
85,426;199,04000;10,00;6,63;0,01901;
86,435;199,04000;10,00;6,63;0,01901;
87,439;199,01000;10,00;6,63;0,01961;
88,450;199,00000;10,00;6,63;0,01981;
89,453;199,00000;10,00;6,63;0,01981;
90,456;199,00000;10,00;6,63;0,01981;
91,459;199,00000;10,00;6,63;0,01981;
92,470;199,00000;10,00;6,63;0,01981;
93,475;199,01000;10,00;6,63;0,01961;
94,477;198,97000;10,00;6,63;0,02040;
95,482;198,96000;10,00;6,63;0,02060;
96,491;198,96000;10,00;6,63;0,02060;
97,501;198,99000;10,00;6,63;0,02001;
98,506;198,99000;10,00;6,63;0,02001;
99,507;199,00000;10,00;6,63;0,01981;
100,510;199,01000;10,00;6,63;0,01961;
101,512;199,01000;10,00;6,63;0,01961;
102,520;199,00000;10,00;6,63;0,01981;
103,524;199,03000;10,00;6,63;0,01921;
104,529;199,00000;10,00;6,63;0,01981;
105,530;199,00000;10,00;6,63;0,01981;
106,535;199,04000;10,00;6,63;0,01901;
107,542;199,02000;10,00;6,63;0,01941;
108,549;199,01000;10,00;6,63;0,01961;
109,555;199,01000;10,00;6,63;0,01961;
110,555;199,01000;10,00;6,63;0,01961;
111,563;199,01000;10,00;6,63;0,01961;
