Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilität_s
0,000;897,42000;10,00;10,00;Einlass;
0,419;897,41000;10,00;10,00;Einlass;
1,407;897,42000;10,00;10,00;Einlass;
2,394;897,42000;10,00;10,00;Einlass;
3,382;897,44000;10,00;10,00;Einlass;
4,370;897,45000;10,00;10,00;Einlass;
5,358;897,45000;10,00;10,00;Einlass;
6,346;897,49000;10,00;10,00;Einlass;
7,334;897,48000;10,00;10,00;Einlass;
8,322;897,49000;10,00;10,00;Einlass;
9,310;897,49000;10,00;10,00;Einlass;
10,298;897,50000;10,00;10,00;Einlass;
11,286;897,46000;10,00;10,00;Einlass;
12,274;897,41000;10,00;10,00;Einlass;
13,262;897,41000;10,00;10,00;Einlass;
14,251;897,41000;10,00;10,00;Einlass;
15,238;897,41000;10,00;10,00;Einlass;
16,226;897,41000;10,00;10,00;Einlass;
17,214;897,41000;10,00;10,00;Einlass;
18,202;897,38000;10,00;10,00;Einlass;
19,189;897,36000;10,00;10,00;Einlass;
20,178;897,37000;10,00;10,00;Einlass;
21,165;897,37000;10,00;10,00;Einlass;
22,154;897,36000;10,00;10,00;Einlass;
23,142;897,37000;10,00;10,00;Einlass;
24,129;897,36000;10,00;10,00;Einlass;
25,117;897,33000;10,00;10,00;Einlass;
26,105;897,33000;10,00;10,00;Einlass;
27,093;897,32000;10,00;10,00;Einlass;
28,081;897,34000;10,00;10,00;Einlass;
29,070;897,38000;10,00;10,00;Einlass;
30,058;897,40000;10,00;10,00;Einlass;
31,045;897,44000;10,00;10,00;Einlass;
32,033;897,47000;10,00;10,00;Einlass;
33,021;897,49000;10,00;10,00;Einlass;
34,009;897,49000;10,00;10,00;Einlass;
34,997;897,49000;10,00;10,00;Einlass;
35,985;897,53000;10,00;10,00;Einlass;
36,973;897,52000;10,00;10,00;Einlass;
37,961;897,49000;10,00;10,00;Einlass;
38,949;897,51000;10,00;10,00;Einlass;
39,936;897,54000;10,00;10,00;Einlass;
40,925;897,57000;10,00;10,00;Einlass;
41,912;897,59000;10,00;10,00;Einlass;
42,901;897,57000;10,00;10,00;Einlass;
43,888;897,57000;10,00;10,00;Einlass;
44,876;897,57000;10,00;10,00;Einlass;
45,864;897,58000;10,00;10,00;Einlass;
46,852;897,57000;10,00;10,00;Einlass;
47,840;897,54000;10,00;10,00;Einlass;
48,828;897,57000;10,00;10,00;Einlass;
49,816;897,57000;10,00;10,00;Einlass;
50,805;897,58000;10,00;10,00;Einlass;
51,792;897,58000;10,00;10,00;Einlass;
52,779;897,58000;10,00;10,00;Einlass;
53,768;897,53000;10,00;10,00;Einlass;
54,756;897,54000;10,00;10,00;Einlass;
55,744;897,53000;10,00;10,00;Einlass;
56,732;897,53000;10,00;10,00;Einlass;
57,720;897,54000;10,00;10,00;Einlass;
58,708;897,50000;10,00;10,00;Einlass;
59,696;897,50000;10,00;10,00;Einlass;
60,683;897,49000;10,00;10,00;Einlass;
61,671;897,50000;10,00;10,00;Einlass;
62,660;897,49000;10,00;10,00;Einlass;
63,648;897,49000;10,00;10,00;Einlass;
64,635;897,52000;10,00;10,00;Einlass;
65,623;897,52000;10,00;10,00;Einlass;
66,612;897,49000;10,00;10,00;Einlass;
67,600;897,49000;10,00;10,00;Einlass;
68,588;897,45000;10,00;10,00;Einlass;
69,575;897,48000;10,00;10,00;Einlass;
70,563;897,50000;10,00;10,00;Einlass;
71,552;897,51000;10,00;10,00;Einlass;
72,539;897,53000;10,00;10,00;Einlass;
73,527;897,51000;10,00;10,00;Einlass;
74,515;897,49000;10,00;10,00;Einlass;
75,503;897,45000;10,00;10,00;Einlass;
76,491;897,46000;10,00;10,00;Einlass;
77,479;897,45000;10,00;10,00;Einlass;
78,467;897,45000;10,00;10,00;Einlass;
79,455;897,45000;10,00;10,00;Einlass;
80,443;897,45000;10,00;10,00;Einlass;
81,430;897,44000;10,00;10,00;Einlass;
82,418;897,49000;10,00;10,00;Einlass;
83,407;897,49000;10,00;10,00;Einlass;
84,395;897,50000;10,00;10,00;Einlass;
85,383;897,50000;10,00;10,00;Einlass;
86,371;897,53000;10,00;10,00;Einlass;
87,358;897,56000;10,00;10,00;Einlass;
88,346;897,58000;10,00;10,00;Einlass;
89,338;897,58000;10,00;10,00;Einlass;
90,322;897,54000;10,00;10,00;Einlass;
91,310;897,50000;10,00;10,00;Einlass;
92,298;897,50000;10,00;10,00;Einlass;
93,286;897,49000;10,00;10,00;Einlass;
94,273;897,49000;10,00;10,00;Einlass;
95,262;897,49000;10,00;10,00;Einlass;
96,250;897,46000;10,00;10,00;Einlass;
97,238;897,48000;10,00;10,00;Einlass;
98,226;897,50000;10,00;10,00;Einlass;98,226
99,214;897,53000;10,00;9,50;Einlass;
100,201;897,53000;10,00;9,50;Einlass;
101,190;897,54000;10,00;9,50;Einlass;
102,177;897,54000;10,00;9,50;Einlass;
103,166;897,55000;10,00;9,50;Einlass;
104,154;897,58000;10,00;9,50;Einlass;
105,141;897,58000;10,00;9,50;Einlass;
106,129;897,57000;10,00;9,50;Einlass;
107,118;897,62000;10,00;9,50;Einlass;
108,106;897,62000;10,00;9,50;Einlass;
109,093;897,62000;10,00;9,50;Einlass;
110,081;897,62000;10,00;9,50;Einlass;
111,069;897,63000;10,00;9,50;Einlass;
112,057;897,62000;10,00;9,50;Einlass;
113,045;897,62000;10,00;9,50;Einlass;
114,033;897,62000;10,00;9,50;Einlass;
115,020;897,62000;10,00;9,50;Einlass;
116,009;897,62000;10,00;9,50;Einlass;
116,997;897,62000;10,00;9,50;Einlass;
117,985;897,62000;10,00;9,50;Einlass;
