Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s
0;963,78;10;10;Einlass;
1,567;904,41;10;10;Einlass;
2,568;879,44;10;10;Einlass;
3,569;891,33;10;10;Einlass;
4,57;893,89;10;10;Einlass;
5,57;894,35;10;10;Einlass;
6,57;894,6;10;10;Einlass;
7,572;894,8;10;10;Einlass;
8,573;894,96;10;10;Einlass;
9,574;895,09;10;10;Einlass;
10,574;895,22;10;10;Einlass;
11,576;895,32;10;10;Einlass;
12,577;895,43;10;10;Einlass;
13,579;895,52;10;10;Einlass;
14,579;895,62;10;10;Einlass;
15,58;895,69;10;10;Einlass;
16,58;895,77;10;10;Einlass;
17,582;895,86;10;10;Einlass;
18,584;895,93;10;10;Einlass;
19,584;895,95;10;10;Einlass;
20,584;895,97;10;10;Einlass;
21,586;896;10;10;Einlass;
22,586;896,02;10;10;Einlass;
23,588;896,07;10;10;Einlass;
24,589;896,12;10;10;Einlass;
25,589;896,15;10;10;Einlass;
26,59;896,16;10;10;Einlass;
27,591;896,21;10;10;Einlass;
28,592;896,24;10;10;Einlass;
29,592;896,25;10;10;Einlass;
30,592;896,27;10;10;Einlass;
31,593;896,26;10;10;Einlass;
32,593;896,25;10;10;Einlass;
33,594;896,25;10;10;Einlass;
34,594;896,27;10;10;Einlass;
35,595;896,32;10;10;Einlass;
36,595;896,34;10;10;Einlass;
37,596;896,35;10;10;Einlass;
38,597;896,38;10;10;Einlass;
39,598;896,34;10;10;Einlass;
40,599;896,38;10;10;Einlass;
41,599;896,38;10;10;Einlass;
42,599;896,37;10;10;Einlass;
43,6;896,39;10;10;Einlass;
44,601;896,42;10;10;Einlass;
45,602;896,43;10;10;Einlass;
46,604;896,47;10;10;Einlass;
47,606;896,49;10;10;Einlass;
48,607;896,53;10;10;Einlass;
49,607;896,55;10;10;Einlass;
50,609;896,55;10;10;Einlass;
51,61;896,59;10;10;Einlass;
52,611;896,63;10;10;Einlass;
53,613;896,64;10;10;Einlass;
54,614;896,64;10;10;Einlass;
55,615;896,63;10;10;Einlass;
56,615;896,6;10;10;Einlass;
57,615;896,6;10;10;Einlass;
58,616;896,59;10;10;Einlass;
59,618;896,6;10;10;Einlass;
60,618;896,6;10;10;Einlass;
61,618;896,63;10;10;Einlass;
62,619;896,64;10;10;Einlass;
63,62;896,64;10;10;Einlass;
64,62;896,64;10;10;Einlass;
65,62;896,64;10;10;Einlass;
66,621;896,66;10;10;Einlass;
67,622;896,66;10;10;Einlass;
68,624;896,68;10;10;Einlass;
69,625;896,68;10;10;Einlass;
70,626;896,71;10;10;Einlass;
71,627;896,72;10;10;Einlass;
72,627;896,73;10;10;Einlass;
73,628;896,72;10;10;Einlass;
74,63;896,72;10;10;Einlass;
75,631;896,71;10;10;Einlass;
76,633;896,69;10;10;Einlass;
77,633;896,68;10;10;Einlass;
78,633;896,69;10;10;Einlass;
79,634;896,68;10;10;Einlass;
80,634;896,66;10;10;Einlass;
81,635;896,68;10;10;Einlass;
82,636;896,68;10;10;Einlass;
83,637;896,68;10;10;Einlass;
84,638;896,68;10;10;Einlass;
85,638;896,72;10;10;Einlass;
86,64;896,72;10;10;Einlass;
87,641;896,69;10;10;Einlass;
88,641;896,67;10;10;Einlass;
89,642;896,67;10;10;Einlass;
90,643;896,68;10;10;Einlass;
91,644;896,7;10;10;Einlass;
92,645;896,68;10;10;Einlass;
93,646;896,73;10;10;Einlass;
94,646;896,69;10;10;Einlass;
95,648;896,69;10;10;Einlass;
96,648;896,72;10;10;Einlass;
97,648;896,72;10;10;Einlass;
98,648;896,72;10;10;Einlass;
99,649;896,76;10;10;Einlass;
100,651;896,73;10;10;Einlass;
101,651;896,72;10;10;Einlass;
102,652;896,73;10;10;Einlass;
103,652;896,72;10;10;Einlass;103,652
104,652;896,72;10;9,5;Einlass;
105,653;896,73;10;9,5;Einlass;
106,654;896,75;10;9,5;Einlass;
107,655;896,76;10;9,5;Einlass;
108,656;896,73;10;9,5;Einlass;
109,657;896,73;10;9,5;Einlass;
110,658;896,73;10;9,5;Einlass;
111,658;896,73;10;9,5;Einlass;
112,659;896,72;10;9,5;Einlass;
113,66;896,73;10;9,5;Einlass;
114,66;896,77;10;9,5;Einlass;
115,661;896,8;10;9,5;Einlass;
116,662;896,82;10;9,5;Einlass;
117,663;896,85;10;9,5;Einlass;
118,664;896,85;10;9,5;Einlass;
119,665;896,82;10;9,5;Einlass;
120,667;896,84;10;9,5;Einlass;
121,668;896,85;10;9,5;Einlass;
122,669;896,88;10;9,5;Einlass;
123,669;896,9;10;9,5;Einlass;
124,67;896,86;10;9,5;Einlass;
125,67;896,83;10;9,5;Einlass;
126,67;896,82;10;9,5;Einlass;
127,672;896,81;10;9,5;Einlass;
128,673;896,81;10;9,5;Einlass;
129,674;896,81;10;9,5;Einlass;
130,675;896,81;10;9,5;Einlass;
131,675;896,81;10;9,5;Einlass;
132,675;896,81;10;9,5;Einlass;
133,676;896,77;10;9,5;Einlass;
134,676;896,73;10;9,5;Einlass;
135,677;896,76;10;9,5;Einlass;
136,678;896,79;10;9,5;Einlass;
137,68;896,81;10;9,5;Einlass;
138,68;896,81;10;9,5;Einlass;
139,68;896,81;10;9,5;Einlass;
140,682;896,81;10;9,5;Einlass;
141,682;896,84;10;9,5;Einlass;
142,683;896,85;10;9,5;Einlass;
143,683;896,82;10;9,5;Einlass;
144,684;896,78;10;9,5;Einlass;
145,685;896,77;10;9,5;Einlass;
146,686;896,79;10;9,5;Einlass;
147,687;896,81;10;9,5;Einlass;
148,687;896,82;10;9,5;Einlass;
149,688;896,84;10;9,5;Einlass;
150,689;896,81;10;9,5;Einlass;
151,689;896,81;10;9,5;Einlass;
152,69;896,81;10;9,5;Einlass;
153,691;896,83;10;9,5;Einlass;
154,692;896,86;10;9,5;Einlass;
155,692;896,85;10;9,5;Einlass;
156,694;896,81;10;9,5;Einlass;
157,695;896,77;10;9,5;Einlass;
158,696;896,77;10;9,5;Einlass;
159,697;896,76;10;9,5;Einlass;
160,698;896,77;10;9,5;Einlass;
161,699;896,82;10;9,5;Einlass;
162,699;896,85;10;9,5;Einlass;
163,7;896,86;10;9,5;Einlass;
164,701;896,86;10;9,5;Einlass;
165,702;896,85;10;9,5;Einlass;
166,703;896,86;10;9,5;Einlass;
167,704;896,85;10;9,5;Einlass;
168,704;896,81;10;9,5;Einlass;
169,704;896,81;10;9,5;Einlass;
170,704;896,78;10;9,5;Einlass;
171,705;896,8;10;9,5;Einlass;
172,706;896,83;10;9,5;Einlass;
173,708;896,82;10;9,5;Einlass;
174,709;896,79;10;9,5;Einlass;
175,71;896,81;10;9,5;Einlass;
176,711;896,81;10;9,5;Einlass;
177,712;896,81;10;9,5;Einlass;
178,713;896,82;10;9,5;Einlass;
179,713;896,82;10;9,5;Einlass;
180,714;896,82;10;9,5;Einlass;
181,715;896,85;10;9,5;Einlass;
182,715;896,85;10;9,5;Einlass;
183,715;896,86;10;9,5;Einlass;
184,716;896,9;10;9,5;Einlass;
185,716;896,9;10;9,5;Einlass;
186,716;896,89;10;9,5;Einlass;
187,717;896,94;10;9,5;Einlass;
188,718;896,94;10;9,5;Einlass;
189,719;896,93;10;9,5;Einlass;
190,719;896,94;10;9,5;Einlass;
191,72;896,94;10;9,5;Einlass;
192,72;896,93;10;9,5;Einlass;
193,721;896,95;10;9,5;Einlass;
194,721;896,94;10;9,5;Einlass;
195,723;896,94;10;9,5;Einlass;
196,724;896,92;10;9,5;Einlass;
197,724;896,86;10;9,5;Einlass;
198,724;896,85;10;9,5;Einlass;
199,725;896,86;10;9,5;Einlass;
200,726;896,85;10;9,5;Einlass;
201,726;896,89;10;9,5;Einlass;
202,728;896,9;10;9,5;Einlass;
203,728;896,9;10;9,5;Einlass;99,076
204,729;896,9;10;9;Einlass;
205,731;896,9;10;9;Einlass;
206,732;896,83;10;9;Einlass;
207,733;896,82;10;9;Einlass;
208,735;896,81;10;9;Einlass;
209,736;896,77;10;9;Einlass;
210,736;896,77;10;9;Einlass;
211,737;896,8;10;9;Einlass;
212,738;896,8;10;9;Einlass;
213,738;896,85;10;9;Einlass;
214,739;896,85;10;9;Einlass;
215,739;896,85;10;9;Einlass;
216,74;896,84;10;9;Einlass;
217,741;896,85;10;9;Einlass;
218,742;896,87;10;9;Einlass;
219,743;896,9;10;9;Einlass;
220,744;896,92;10;9;Einlass;
221,745;896,9;10;9;Einlass;
222,746;896,86;10;9;Einlass;
223,748;896,86;10;9;Einlass;
224,748;896,85;10;9;Einlass;
225,75;896,89;10;9;Einlass;
226,751;896,9;10;9;Einlass;
227,751;896,9;10;9;Einlass;
228,752;896,89;10;9;Einlass;
229,753;896,94;10;9;Einlass;
230,754;896,94;10;9;Einlass;
231,755;896,9;10;9;Einlass;
232,756;896,9;10;9;Einlass;
233,758;896,89;10;9;Einlass;
234,759;896,89;10;9;Einlass;
235,76;896,9;10;9;Einlass;
236,762;896,89;10;9;Einlass;
237,762;896,85;10;9;Einlass;
238,763;896,86;10;9;Einlass;
239,764;896,82;10;9;Einlass;
240,764;896,81;10;9;Einlass;
241,765;896,82;10;9;Einlass;
242,766;896,81;10;9;Einlass;
243,767;896,84;10;9;Einlass;
244,768;896,87;10;9;Einlass;
245,769;896,9;10;9;Einlass;
246,77;896,9;10;9;Einlass;
247,77;896,92;10;9;Einlass;
248,771;896,87;10;9;Einlass;
249,771;896,83;10;9;Einlass;
250,772;896,82;10;9;Einlass;
251,773;896,81;10;9;Einlass;
252,775;896,81;10;9;Einlass;
253,776;896,81;10;9;Einlass;
254,777;896,85;10;9;Einlass;
255,778;896,87;10;9;Einlass;
256,779;896,9;10;9;Einlass;
257,779;896,86;10;9;Einlass;
258,78;896,85;10;9;Einlass;
259,78;896,86;10;9;Einlass;
260,78;896,85;10;9;Einlass;
261,781;896,85;10;9;Einlass;
262,782;896,83;10;9;Einlass;
263,782;896,81;10;9;Einlass;
264,783;896,81;10;9;Einlass;
265,784;896,81;10;9;Einlass;
266,786;896,84;10;9;Einlass;
267,786;896,85;10;9;Einlass;
268,787;896,82;10;9;Einlass;
269,788;896,81;10;9;Einlass;
270,789;896,81;10;9;Einlass;
271,79;896,78;10;9;Einlass;
272,79;896,77;10;9;Einlass;
273,791;896,73;10;9;Einlass;
274,792;896,72;10;9;Einlass;
275,792;896,73;10;9;Einlass;
276,793;896,76;10;9;Einlass;
277,795;896,79;10;9;Einlass;
278,795;896,77;10;9;Einlass;
279,795;896,77;10;9;Einlass;
280,796;896,76;10;9;Einlass;
281,797;896,78;10;9;Einlass;
282,799;896,77;10;9;Einlass;
283,8;896,8;10;9;Einlass;
284,801;896,78;10;9;Einlass;
285,803;896,77;10;9;Einlass;
286,803;896,77;10;9;Einlass;
287,804;896,8;10;9;Einlass;
288,805;896,77;10;9;Einlass;
289,805;896,76;10;9;Einlass;
290,805;896,77;10;9;Einlass;
291,806;896,8;10;9;Einlass;
292,807;896,8;10;9;Einlass;
293,808;896,81;10;9;Einlass;
294,809;896,84;10;9;Einlass;
295,81;896,88;10;9;Einlass;
296,81;896,9;10;9;Einlass;
297,812;896,89;10;9;Einlass;
298,813;896,89;10;9;Einlass;
299,814;896,9;10;9;Einlass;
300,816;896,89;10;9;Einlass;
301,817;896,89;10;9;Einlass;
302,818;896,89;10;9;Einlass;
303,818;896,91;10;9;Einlass;99,088
304,819;896,94;10;8,5;Einlass;
305,821;896,52;10;8,5;Einlass;
306,821;895,54;10;8,5;Einlass;
307,821;894,99;10;8,5;Einlass;
308,821;894,83;10;8,5;Einlass;
309,823;894,76;10;8,5;Einlass;
310,823;894,75;10;8,5;Einlass;
311,823;894,76;10;8,5;Einlass;
312,825;894,76;10;8,5;Einlass;
313,825;894,76;10;8,5;Einlass;
314,828;894,79;10;8,5;Einlass;
315,828;894,78;10;8,5;Einlass;
316,829;894,75;10;8,5;Einlass;
317,829;894,74;10;8,5;Einlass;
318,831;894,76;10;8,5;Einlass;
319,831;894,75;10;8,5;Einlass;
320,831;894,75;10;8,5;Einlass;
321,832;894,76;10;8,5;Einlass;
322,833;894,79;10;8,5;Einlass;
323,833;894,82;10;8,5;Einlass;
324,834;894,84;10;8,5;Einlass;
325,835;894,84;10;8,5;Einlass;
326,836;894,83;10;8,5;Einlass;
327,838;894,81;10;8,5;Einlass;
328,839;894,8;10;8,5;Einlass;
329,839;894,77;10;8,5;Einlass;
330,839;894,75;10;8,5;Einlass;
331,84;894,8;10;8,5;Einlass;
332,841;894,83;10;8,5;Einlass;
333,843;894,84;10;8,5;Einlass;
334,844;894,86;10;8,5;Einlass;
335,844;894,89;10;8,5;Einlass;
336,844;894,92;10;8,5;Einlass;
337,845;894,93;10;8,5;Einlass;
338,845;894,92;10;8,5;Einlass;
339,845;894,9;10;8,5;Einlass;
340,848;894,93;10;8,5;Einlass;
341,849;894,93;10;8,5;Einlass;
342,85;894,88;10;8,5;Einlass;
343,851;894,83;10;8,5;Einlass;
344,852;894,8;10;8,5;Einlass;
345,852;894,79;10;8,5;Einlass;
346,853;894,8;10;8,5;Einlass;
347,854;894,8;10;8,5;Einlass;
348,855;894,81;10;8,5;Einlass;
349,856;894,83;10;8,5;Einlass;
350,857;894,82;10;8,5;Einlass;
351,857;894,8;10;8,5;Einlass;
352,858;894,83;10;8,5;Einlass;
353,859;894,85;10;8,5;Einlass;
354,86;894,88;10;8,5;Einlass;
355,861;894,91;10;8,5;Einlass;
356,863;894,95;10;8,5;Einlass;
357,863;894,98;10;8,5;Einlass;
358,863;894,99;10;8,5;Einlass;
359,863;895,01;10;8,5;Einlass;
360,863;894,98;10;8,5;Einlass;
361,864;895,01;10;8,5;Einlass;
362,865;895,05;10;8,5;Einlass;
363,866;895,02;10;8,5;Einlass;
364,867;895,01;10;8,5;Einlass;
365,867;895,01;10;8,5;Einlass;
366,868;895,01;10;8,5;Einlass;
367,869;895,05;10;8,5;Einlass;
368,87;895,05;10;8,5;Einlass;
369,871;895,06;10;8,5;Einlass;
370,872;895,02;10;8,5;Einlass;
371,873;895,01;10;8,5;Einlass;
372,874;894,98;10;8,5;Einlass;
373,875;894,96;10;8,5;Einlass;
374,876;894,97;10;8,5;Einlass;
375,876;895,01;10;8,5;Einlass;
376,877;895,01;10;8,5;Einlass;
377,877;894,97;10;8,5;Einlass;
378,878;894,97;10;8,5;Einlass;
379,879;894,96;10;8,5;Einlass;
380,88;894,96;10;8,5;Einlass;
381,881;894,97;10;8,5;Einlass;
382,882;895;10;8,5;Einlass;
383,882;895,04;10;8,5;Einlass;
384,882;895,05;10;8,5;Einlass;
385,882;895,04;10;8,5;Einlass;
386,883;895,01;10;8,5;Einlass;
387,884;895,04;10;8,5;Einlass;
388,884;895,06;10;8,5;Einlass;
389,885;895,09;10;8,5;Einlass;
390,886;895,09;10;8,5;Einlass;
391,886;895,1;10;8,5;Einlass;
392,887;895,1;10;8,5;Einlass;
393,887;895,07;10;8,5;Einlass;
394,888;895,05;10;8,5;Einlass;
395,889;895,05;10;8,5;Einlass;
396,89;895,05;10;8,5;Einlass;
397,892;895,05;10;8,5;Einlass;
398,892;895,06;10;8,5;Einlass;
399,892;895,09;10;8,5;Einlass;
400,894;895,09;10;8,5;Einlass;
401,895;895,1;10;8,5;Einlass;
402,897;895,1;10;8,5;Einlass;
403,897;895,09;10;8,5;Einlass;99,078
404,898;895,14;10;8;Einlass;
405,898;894,46;10;8;Einlass;
406,899;887,14;10;8;Einlass;
407,9;884,33;10;8;Einlass;
408,901;883,9;10;8;Einlass;
409,902;883,72;10;8;Einlass;
410,904;883,69;10;8;Einlass;
411,904;883,65;10;8;Einlass;
412,905;883,63;10;8;Einlass;
413,906;883,65;10;8;Einlass;
414,907;883,64;10;8;Einlass;
415,908;883,67;10;8;Einlass;
416,909;883,65;10;8;Einlass;
417,909;883,63;10;8;Einlass;
418,91;883,6;10;8;Einlass;
419,911;883,57;10;8;Einlass;
420,911;883,53;10;8;Einlass;
421,911;883,49;10;8;Einlass;
422,912;883,45;10;8;Einlass;
423,912;883,44;10;8;Einlass;
424,913;883,43;10;8;Einlass;
425,914;882,97;10;8;Einlass;
426,915;882,54;10;8;Einlass;
427,917;882,35;10;8;Einlass;
428,917;882,28;10;8;Einlass;
429,918;882,28;10;8;Einlass;
430,918;882,28;10;8;Einlass;
431,918;882,28;10;8;Einlass;
432,92;882,28;10;8;Einlass;
433,92;882,28;10;8;Einlass;
434,921;882,3;10;8;Einlass;
435,923;882,28;10;8;Einlass;
436,924;882,28;10;8;Einlass;
437,925;882,32;10;8;Einlass;
438,925;882,36;10;8;Einlass;
439,926;882,37;10;8;Einlass;
440,927;882,36;10;8;Einlass;
441,927;882,36;10;8;Einlass;
442,929;882,39;10;8;Einlass;
443,929;882,41;10;8;Einlass;
444,929;882,43;10;8;Einlass;
445,93;882,42;10;8;Einlass;
446,932;882,42;10;8;Einlass;
447,932;882,4;10;8;Einlass;
448,933;882,33;10;8;Einlass;
449,933;882,34;10;8;Einlass;
450,934;882,36;10;8;Einlass;
451,935;882,36;10;8;Einlass;
452,936;882,33;10;8;Einlass;
453,936;882,32;10;8;Einlass;
454,937;882,29;10;8;Einlass;
455,937;882,28;10;8;Einlass;
456,938;882,28;10;8;Einlass;
457,939;882,28;10;8;Einlass;
458,94;882,31;10;8;Einlass;
459,942;882,36;10;8;Einlass;
460,942;882,36;10;8;Einlass;
461,943;882,39;10;8;Einlass;
462,944;882,4;10;8;Einlass;
463,944;882,4;10;8;Einlass;
464,945;882,37;10;8;Einlass;
465,946;882,37;10;8;Einlass;
466,948;882,33;10;8;Einlass;
467,949;882,28;10;8;Einlass;
468,95;882,28;10;8;Einlass;
469,951;882,3;10;8;Einlass;
470,953;882,35;10;8;Einlass;
471,953;882,4;10;8;Einlass;
472,954;882,42;10;8;Einlass;
473,955;882,45;10;8;Einlass;
474,955;882,45;10;8;Einlass;
475,956;882,45;10;8;Einlass;
476,956;882,46;10;8;Einlass;
477,958;882,48;10;8;Einlass;
478,959;882,49;10;8;Einlass;
479,959;882,53;10;8;Einlass;
480,96;882,54;10;8;Einlass;
481,96;882,53;10;8;Einlass;
482,961;882,54;10;8;Einlass;
483,97;882,53;10;8;Einlass;
484,971;882,52;10;8;Einlass;
485,972;882,51;10;8;Einlass;
486,973;882,53;10;8;Einlass;
487,973;882,57;10;8;Einlass;
488,974;882,54;10;8;Einlass;
489,975;882,54;10;8;Einlass;
490,976;882,53;10;8;Einlass;
491,977;882,53;10;8;Einlass;
492,978;882,5;10;8;Einlass;
493,979;882,46;10;8;Einlass;
494,98;882,44;10;8;Einlass;
495,981;882,45;10;8;Einlass;
496,981;882,45;10;8;Einlass;
497,982;882,45;10;8;Einlass;
498,982;882,45;10;8;Einlass;
499,984;882,45;10;8;Einlass;
500,985;882,45;10;8;Einlass;
501,987;882,4;10;8;Einlass;
502,987;882,41;10;8;Einlass;
503,989;882,4;10;8;Einlass;
504,989;882,4;10;8;Einlass;
505,99;882,37;10;8;Einlass;
506,991;882,35;10;8;Einlass;102,093
507,992;882,37;10;7,5;Einlass;
508,993;882,24;10;7,5;Einlass;
509,994;839,16;10;7,5;Einlass;
510,994;809,88;10;7,5;Einlass;
511,996;795,61;10;7,5;Einlass;
512,996;788,61;10;7,5;Einlass;
513,996;785,13;10;7,5;Einlass;
514,998;783,35;10;7,5;Einlass;
515,998;782,54;10;7,5;Einlass;
516,998;781,92;10;7,5;Einlass;
517,999;781,54;10;7,5;Einlass;
518,999;781,28;10;7,5;Einlass;
520,001;781,12;10;7,5;Einlass;
521,001;781,01;10;7,5;Einlass;
522,003;780,93;10;7,5;Einlass;
523,004;780,86;10;7,5;Einlass;
524,004;780,82;10;7,5;Einlass;
525,005;780,81;10;7,5;Einlass;
526,007;780,84;10;7,5;Einlass;
527,007;780,81;10;7,5;Einlass;
528,009;780,77;10;7,5;Einlass;
529,01;780,72;10;7,5;Einlass;
530,011;780,69;10;7,5;Einlass;
531,012;780,68;10;7,5;Einlass;
532,012;780,65;10;7,5;Einlass;
533,012;780,61;10;7,5;Einlass;
534,014;780,57;10;7,5;Einlass;
535,014;780,56;10;7,5;Einlass;
536,015;780,52;10;7,5;Einlass;
537,016;780,51;10;7,5;Einlass;
