Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
1,067;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
2,068;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
3,069;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
4,070;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
5,070;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
6,070;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
7,072;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
8,072;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
9,073;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
10,074;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
11,075;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
12,075;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
13,076;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
14,077;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
15,077;964,65000;2,00;8,00;;b'0, 9,6465E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6465E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6465E+02,2, 1,3652E+00,5, 1,0000E+03
16,078;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
17,079;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
18,081;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
19,081;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
20,082;964,66000;2,00;8,00;;b'0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6466E+02,2, 1,3652E+00,5, 1,0000E+03
21,083;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
22,084;964,67000;2,00;8,00;;b'0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6467E+02,2, 1,3652E+00,5, 1,0000E+03
