Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;959,30000;10,00;10,00;Einlass;;b'0, 9,5930E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5930E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5930E+02,2, 1,3652E+00,5, 1,0000E+03
1,133;955,46000;10,00;10,00;Einlass;;b'0, 9,5546E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5546E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5546E+02,2, 1,3652E+00,5, 1,0000E+03
2,134;862,41000;10,00;10,00;Einlass;;b'0, 8,6241E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,6241E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,6241E+02,2, 1,3652E+00,5, 1,0000E+03
3,134;882,50000;10,00;10,00;Einlass;;b'0, 8,8250E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,8250E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,8250E+02,2, 1,3652E+00,5, 1,0000E+03
4,136;889,00000;10,00;10,00;Einlass;;b'0, 8,8900E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,8900E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,8900E+02,2, 1,3652E+00,5, 1,0000E+03
5,137;890,24000;10,00;10,00;Einlass;;b'0, 8,9024E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9024E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9024E+02,2, 1,3652E+00,5, 1,0000E+03
6,138;890,56000;10,00;10,00;Einlass;;b'0, 8,9056E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9056E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9056E+02,2, 1,3652E+00,5, 1,0000E+03
7,139;890,80000;10,00;10,00;Einlass;;b'0, 8,9080E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9080E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9080E+02,2, 1,3652E+00,5, 1,0000E+03
8,140;890,96000;10,00;10,00;Einlass;;b'0, 8,9096E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9096E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9096E+02,2, 1,3652E+00,5, 1,0000E+03
9,140;891,11000;10,00;10,00;Einlass;;b'0, 8,9111E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9111E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9111E+02,2, 1,3652E+00,5, 1,0000E+03
10,141;891,24000;10,00;10,00;Einlass;;b'0, 8,9124E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9124E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9124E+02,2, 1,3652E+00,5, 1,0000E+03
11,142;891,34000;10,00;10,00;Einlass;;b'0, 8,9134E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9134E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9134E+02,2, 1,3652E+00,5, 1,0000E+03
12,144;891,45000;10,00;10,00;Einlass;;b'0, 8,9145E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9145E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9145E+02,2, 1,3652E+00,5, 1,0000E+03
13,145;891,55000;10,00;10,00;Einlass;;b'0, 8,9155E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9155E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9155E+02,2, 1,3652E+00,5, 1,0000E+03
14,146;891,64000;10,00;10,00;Einlass;;b'0, 8,9164E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9164E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9164E+02,2, 1,3652E+00,5, 1,0000E+03
15,147;891,72000;10,00;10,00;Einlass;;b'0, 8,9172E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9172E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9172E+02,2, 1,3652E+00,5, 1,0000E+03
16,149;891,77000;10,00;10,00;Einlass;;b'0, 8,9177E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9177E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9177E+02,2, 1,3652E+00,5, 1,0000E+03
17,149;891,82000;10,00;10,00;Einlass;;b'0, 8,9182E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9182E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9182E+02,2, 1,3652E+00,5, 1,0000E+03
18,150;891,86000;10,00;10,00;Einlass;;b'0, 8,9186E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9186E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9186E+02,2, 1,3652E+00,5, 1,0000E+03
