Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;response
0,000;958,06000;10,0;0.0;;0, 9,5806E+02,2, 1,3652E+00,5, 1,0000E+03
1,010;957,82000;10,0;0.0;;0, 9,5782E+02,2, 1,3652E+00,5, 1,0000E+03
2,018;884,19000;10,0;0.0;;0, 8,8419E+02,2, 1,3652E+00,5, 1,0000E+03
3,027;691,38000;10,0;0.0;;0, 6,9138E+02,2, 1,3652E+00,5, 1,0000E+03
4,028;610,07000;10,0;0.0;;0, 6,1007E+02,2, 1,3652E+00,5, 1,0000E+03
5,035;554,29000;10,0;0.0;;0, 5,5429E+02,2, 1,3652E+00,5, 1,0000E+03
6,045;512,46000;10,0;0.0;;0, 5,1246E+02,2, 1,3652E+00,5, 1,0000E+03
7,052;480,70000;10,0;0.0;;0, 4,8070E+02,2, 1,3652E+00,5, 1,0000E+03
8,062;456,07000;10,0;0.0;;0, 4,5607E+02,2, 1,3652E+00,5, 1,0000E+03
9,069;436,99000;10,0;0.0;;0, 4,3699E+02,2, 1,3652E+00,5, 1,0000E+03
10,078;422,39000;10,0;0.0;;0, 4,2239E+02,2, 1,3652E+00,5, 1,0000E+03
11,078;410,97000;10,0;0.0;;0, 4,1097E+02,2, 1,3652E+00,5, 1,0000E+03
12,085;401,89000;5,44;7,20;;0, 4,0189E+02,2, 1,3652E+00,5, 1,0000E+03
13,086;401,58000;5,44;7,20;;0, 4,0158E+02,2, 1,3652E+00,5, 1,0000E+03
14,086;477,64000;6,47;7,20;;0, 4,7764E+02,2, 1,3652E+00,5, 1,0000E+03
15,089;569,46000;7,71;7,18;;0, 5,6946E+02,2, 1,3652E+00,5, 1,0000E+03
16,090;656,91000;8,90;7,17;;0, 6,5691E+02,2, 1,3652E+00,5, 1,0000E+03
17,099;733,45000;9,93;7,17;;0, 7,3345E+02,2, 1,3652E+00,5, 1,0000E+03
18,107;797,08000;10,00;7,16;;0, 7,9708E+02,2, 1,3652E+00,5, 1,0000E+03
19,109;848,04000;10,00;7,15;;0, 8,4804E+02,2, 1,3652E+00,5, 1,0000E+03
20,114;886,43000;10,00;7,15;;0, 8,8643E+02,2, 1,3652E+00,5, 1,0000E+03
21,115;914,33000;10,00;7,14;;0, 9,1433E+02,2, 1,3652E+00,5, 1,0000E+03
22,124;932,85000;10,00;7,14;;0, 9,3285E+02,2, 1,3652E+00,5, 1,0000E+03
23,132;944,14000;10,00;7,14;;0, 9,4414E+02,2, 1,3652E+00,5, 1,0000E+03
24,141;949,99000;10,00;7,14;;0, 9,4999E+02,2, 1,3652E+00,5, 1,0000E+03
25,149;952,69000;10,00;7,14;;0, 9,5269E+02,2, 1,3652E+00,5, 1,0000E+03
26,157;953,77000;10,00;7,14;;0, 9,5377E+02,2, 1,3652E+00,5, 1,0000E+03
27,166;954,22000;10,00;7,14;;0, 9,5422E+02,2, 1,3652E+00,5, 1,0000E+03
28,167;954,49000;10,00;7,14;;0, 9,5449E+02,2, 1,3652E+00,5, 1,0000E+03
29,172;954,64000;10,00;7,14;;0, 9,5464E+02,2, 1,3652E+00,5, 1,0000E+03
30,181;954,71000;10,00;7,14;;0, 9,5471E+02,2, 1,3652E+00,5, 1,0000E+03
31,182;954,73000;10,00;7,14;;0, 9,5473E+02,2, 1,3652E+00,5, 1,0000E+03
32,185;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
33,189;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
34,191;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
35,194;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
36,196;954,76000;10,00;7,14;;0, 9,5476E+02,2, 1,3652E+00,5, 1,0000E+03
37,198;954,76000;10,00;7,14;;0, 9,5476E+02,2, 1,3652E+00,5, 1,0000E+03
38,201;954,76000;10,00;7,14;;0, 9,5476E+02,2, 1,3652E+00,5, 1,0000E+03
39,206;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
40,216;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
41,220;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
42,229;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
43,231;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
44,234;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
45,236;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
46,241;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
47,241;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
48,250;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
49,256;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
50,259;954,78000;10,00;7,14;;0, 9,5478E+02,2, 1,3652E+00,5, 1,0000E+03
51,267;954,78000;10,00;7,14;;0, 9,5478E+02,2, 1,3652E+00,5, 1,0000E+03
52,271;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
53,276;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
54,283;954,79000;10,00;7,14;;0, 9,5479E+02,2, 1,3652E+00,5, 1,0000E+03
55,290;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
56,299;954,78000;10,00;7,14;;0, 9,5478E+02,2, 1,3652E+00,5, 1,0000E+03
57,302;954,80000;10,00;7,14;;0, 9,5480E+02,2, 1,3652E+00,5, 1,0000E+03
58,311;954,78000;10,00;7,14;;0, 9,5478E+02,2, 1,3652E+00,5, 1,0000E+03
59,313;954,77000;10,00;7,14;;0, 9,5477E+02,2, 1,3652E+00,5, 1,0000E+03
