Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;967,38000;10,00;7,05;-0,23288;
1,001;967,37000;10,00;7,05;-0,23288;
2,010;967,34000;10,00;7,05;-0,23287;
3,011;967,20000;10,00;7,05;-0,23282;
4,019;961,10000;10,00;7,06;-0,23062;
5,027;738,97000;10,00;7,15;-0,13931;
6,030;621,32000;10,00;7,21;-0,07906;
7,033;546,55000;10,00;7,25;-0,03451;
8,035;495,92000;10,00;7,29;-0,00073;
9,045;468,77000;10,00;7,31;0,01883;
10,049;462,33000;10,00;7,31;0,02363;
11,055;470,56000;10,00;7,30;0,01750;
12,060;489,15000;10,00;7,29;0,00404;
13,063;508,77000;10,00;7,28;-0,00962;
14,063;523,31000;10,00;7,27;-0,01941;
15,068;532,75000;10,00;7,26;-0,02562;
16,072;536,73000;10,00;7,26;-0,02821;
17,077;539,27000;10,00;7,26;-0,02985;
18,085;539,44000;10,00;7,26;-0,02996;
19,091;534,32000;10,00;7,26;-0,02665;
20,095;529,11000;10,00;7,26;-0,02324;
21,103;526,12000;10,00;7,27;-0,02127;
22,113;523,78000;10,00;7,27;-0,01972;
23,118;522,43000;10,00;7,27;-0,01883;
24,119;521,15000;10,00;7,27;-0,01797;
25,121;519,98000;10,00;7,27;-0,01719;
26,124;519,00000;10,00;7,27;-0,01654;
27,130;518,29000;10,00;7,27;-0,01606;
28,132;517,75000;10,00;7,27;-0,01570;
29,142;517,35000;10,00;7,27;-0,01543;
30,147;517,05000;10,00;7,27;-0,01523;
31,154;516,82000;10,00;7,27;-0,01508;
32,159;516,66000;10,00;7,27;-0,01497;
33,163;516,52000;10,00;7,27;-0,01487;
34,165;516,44000;10,00;7,27;-0,01482;
35,173;516,38000;10,00;7,27;-0,01478;
36,180;516,33000;10,00;7,27;-0,01475;
37,187;516,29000;10,00;7,27;-0,01472;
38,191;516,28000;10,00;7,27;-0,01471;
39,200;516,27000;10,00;7,27;-0,01471;
40,206;516,24000;10,00;7,27;-0,01469;
41,209;516,22000;10,00;7,27;-0,01467;
42,216;516,24000;10,00;7,27;-0,01469;
43,222;516,24000;10,00;7,27;-0,01469;
44,229;516,24000;10,00;7,27;-0,01469;
45,229;516,23000;10,00;7,27;-0,01468;
46,239;516,24000;10,00;7,27;-0,01469;
47,245;516,24000;10,00;7,27;-0,01469;
48,251;516,24000;10,00;7,27;-0,01469;
49,252;516,22000;10,00;7,27;-0,01467;
50,255;516,20000;10,00;7,27;-0,01466;
51,263;516,16000;10,00;7,27;-0,01463;
52,268;516,12000;10,00;7,27;-0,01460;
53,275;516,08000;10,00;7,27;-0,01458;
54,278;516,02000;10,00;7,27;-0,01454;
55,279;516,05000;10,00;7,27;-0,01456;
56,282;516,15000;10,00;7,27;-0,01463;
57,289;516,23000;10,00;7,27;-0,01468;
58,289;516,27000;10,00;7,27;-0,01471;
59,295;516,28000;10,00;7,27;-0,01471;
60,298;516,28000;10,00;7,27;-0,01471;
61,308;516,29000;10,00;7,27;-0,01472;
62,313;516,24000;10,00;7,27;-0,01469;
63,314;516,24000;10,00;7,27;-0,01469;
64,321;516,24000;10,00;7,27;-0,01469;
65,329;516,24000;10,00;7,27;-0,01469;
66,337;516,20000;10,00;7,27;-0,01466;
67,346;516,16000;10,00;7,27;-0,01463;
68,351;516,12000;10,00;7,27;-0,01460;
69,353;516,11000;10,00;7,27;-0,01460;
70,355;516,10000;10,00;7,27;-0,01459;
71,360;516,11000;10,00;7,27;-0,01460;
72,369;516,11000;10,00;7,27;-0,01460;
73,374;516,11000;10,00;7,27;-0,01460;
74,377;516,07000;10,00;7,27;-0,01457;
75,380;516,03000;10,00;7,27;-0,01454;
76,386;516,02000;10,00;7,27;-0,01454;
77,391;515,98000;10,00;7,27;-0,01451;
78,395;515,93000;10,00;7,27;-0,01448;
79,400;515,87000;10,00;7,27;-0,01444;
80,403;515,84000;10,00;7,27;-0,01442;
81,411;515,81000;10,00;7,27;-0,01440;
82,416;515,81000;10,00;7,27;-0,01440;
83,418;515,78000;10,00;7,27;-0,01438;
84,421;515,77000;10,00;7,27;-0,01437;
85,422;515,76000;10,00;7,27;-0,01436;
86,425;515,76000;10,00;7,27;-0,01436;
87,429;515,78000;10,00;7,27;-0,01438;
88,430;515,81000;10,00;7,27;-0,01440;
89,432;515,78000;10,00;7,27;-0,01438;
90,432;515,80000;10,00;7,27;-0,01439;
91,440;515,77000;10,00;7,27;-0,01437;
92,449;515,77000;10,00;7,27;-0,01437;
93,458;515,76000;10,00;7,27;-0,01436;
94,462;515,73000;10,00;7,27;-0,01434;
95,467;515,73000;10,00;7,27;-0,01434;
96,472;515,72000;10,00;7,27;-0,01434;
97,478;515,69000;10,00;7,27;-0,01432;
98,479;515,68000;10,00;7,27;-0,01431;
99,484;515,68000;10,00;7,27;-0,01431;
100,489;515,72000;10,00;7,27;-0,01434;
101,494;515,71000;10,00;7,27;-0,01433;
102,503;515,68000;10,00;7,27;-0,01431;
103,511;515,65000;10,00;7,27;-0,01429;
104,519;515,62000;10,00;7,27;-0,01427;
105,522;515,60000;10,00;7,27;-0,01425;
106,530;515,56000;10,00;7,27;-0,01423;
107,530;515,53000;10,00;7,27;-0,01421;
108,536;515,51000;10,00;7,27;-0,01419;
109,537;515,51000;10,00;7,27;-0,01419;
110,547;515,46000;10,00;7,27;-0,01416;
111,552;515,43000;10,00;7,27;-0,01414;
112,554;515,40000;10,00;7,27;-0,01412;
113,556;515,38000;10,00;7,27;-0,01411;
114,559;515,35000;10,00;7,27;-0,01409;
115,566;515,31000;10,00;7,27;-0,01406;
116,577;515,30000;10,00;7,27;-0,01405;
117,581;515,30000;10,00;7,27;-0,01405;
118,583;515,30000;10,00;7,27;-0,01405;
119,590;515,30000;10,00;7,27;-0,01405;
120,599;515,29000;10,00;7,27;-0,01405;
121,600;515,26000;10,00;7,27;-0,01403;
122,602;515,23000;10,00;7,27;-0,01401;
123,606;515,21000;10,00;7,27;-0,01399;
124,608;515,19000;10,00;7,27;-0,01398;
125,610;515,13000;10,00;7,27;-0,01394;
126,611;515,13000;10,00;7,27;-0,01394;
127,613;515,12000;10,00;7,27;-0,01393;
128,618;515,09000;10,00;7,27;-0,01391;
129,623;515,06000;10,00;7,27;-0,01389;
130,629;515,02000;10,00;7,27;-0,01386;
131,637;515,00000;10,00;7,27;-0,01385;
132,642;514,97000;10,00;7,27;-0,01383;
133,649;514,96000;10,00;7,27;-0,01382;
134,658;514,96000;10,00;7,27;-0,01382;
135,660;514,95000;10,00;7,27;-0,01382;
136,660;514,92000;10,00;7,27;-0,01380;
137,663;514,88000;10,00;7,27;-0,01377;
138,668;514,80000;10,00;7,27;-0,01372;
