Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Stellgröße;response
0,000;967,15000;10,00;7,02;-0,26190;
1,007;967,13000;10,00;7,02;-0,26189;
2,015;967,11000;10,00;7,02;-0,26188;
3,017;967,11000;10,00;7,02;-0,26188;
4,018;967,11000;10,00;7,02;-0,26188;
5,025;967,05000;10,00;7,02;-0,26186;
6,030;966,40000;10,00;7,03;-0,26160;
7,034;770,95000;10,00;7,11;-0,17328;
8,039;635,93000;10,00;7,19;-0,09802;
9,043;555,57000;10,00;7,24;-0,04522;
10,046;496,21000;10,00;7,29;-0,00105;
11,050;450,93000;10,00;7,32;0,03635;
12,053;418,59000;10,00;7,35;0,06544;
13,062;401,59000;10,00;7,37;0,08164;
14,064;401,83000;10,00;7,37;0,08141;
15,065;420,51000;10,00;7,35;0,06365;
16,067;451,50000;10,00;7,32;0,03585;
17,074;487,21000;10,00;7,29;0,00610;
18,078;524,06000;10,00;7,26;-0,02240;
19,081;558,32000;10,00;7,24;-0,04715;
20,083;584,59000;10,00;7,22;-0,06512;
21,085;601,74000;10,00;7,21;-0,07642;
22,091;603,36000;10,00;7,21;-0,07747;
23,100;594,32000;10,00;7,22;-0,07157;
24,104;577,89000;10,00;7,23;-0,06062;
25,109;557,85000;10,00;7,24;-0,04682;
26,111;535,93000;10,00;7,26;-0,03115;
27,114;513,27000;10,00;7,27;-0,01427;
28,116;495,22000;10,00;7,29;-0,00027;
29,118;481,34000;10,00;7,30;0,01084;
30,123;471,47000;10,00;7,31;0,01894;
31,124;468,48000;10,00;7,31;0,02142;
32,131;469,48000;10,00;7,31;0,02059;
33,140;475,54000;10,00;7,30;0,01558;
34,145;487,97000;10,00;7,29;0,00549;
35,146;501,51000;10,00;7,28;-0,00521;
36,155;515,22000;10,00;7,27;-0,01575;
37,161;526,88000;10,00;7,26;-0,02450;
38,170;535,71000;10,00;7,26;-0,03099;
39,179;541,98000;10,00;7,25;-0,03554;
40,180;544,21000;10,00;7,25;-0,03714;
41,185;544,74000;10,00;7,25;-0,03753;
