Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;893,63000;10,00;10,00;Einlass;;b'0, 8,9363E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9363E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9363E+02,2, 1,3652E+00,5, 1,0000E+03
1,095;893,61000;10,00;10,00;Einlass;;b'0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
2,096;893,61000;10,00;10,00;Einlass;;b'0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
3,097;893,61000;10,00;10,00;Einlass;;b'0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
4,097;893,61000;10,00;10,00;Einlass;;b'0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
5,099;893,65000;10,00;10,00;Einlass;;b'0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
6,100;893,65000;10,00;10,00;Einlass;;b'0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
7,101;893,62000;10,00;10,00;Einlass;;b'0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03
8,102;893,62000;10,00;10,00;Einlass;;b'0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03
9,103;893,61000;10,00;10,00;Einlass;;b'0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
10,103;893,61000;10,00;10,00;Einlass;;b'0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
11,103;893,62000;10,00;10,00;Einlass;;b'0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9362E+02,2, 1,3652E+00,5, 1,0000E+03
12,104;893,61000;10,00;10,00;Einlass;;b'0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
13,105;893,61000;10,00;10,00;Einlass;;b'0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9361E+02,2, 1,3652E+00,5, 1,0000E+03
14,107;893,65000;10,00;10,00;Einlass;;b'0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
15,108;893,66000;10,00;10,00;Einlass;;b'0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
16,108;893,65000;10,00;10,00;Einlass;;b'0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
17,109;893,66000;10,00;10,00;Einlass;;b'0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
18,109;893,66000;10,00;10,00;Einlass;;b'0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
19,110;893,66000;10,00;10,00;Einlass;;b'0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
20,112;893,66000;10,00;10,00;Einlass;;b'0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9366E+02,2, 1,3652E+00,5, 1,0000E+03
21,113;893,65000;10,00;10,00;Einlass;;b'0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9365E+02,2, 1,3652E+00,5, 1,0000E+03
22,114;893,69000;10,00;10,00;Einlass;;b'0, 8,9369E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9369E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9369E+02,2, 1,3652E+00,5, 1,0000E+03
23,115;893,70000;10,00;10,00;Einlass;;b'0, 8,9370E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9370E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9370E+02,2, 1,3652E+00,5, 1,0000E+03
