Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;961,66000;10,00;10,00;Einlass;;b'0, 9,6166E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6166E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6166E+02,2, 1,3652E+00,5, 1,0000E+03
1,000;961,64000;10,00;10,00;Einlass;;b'0, 9,6164E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6164E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6164E+02,2, 1,3652E+00,5, 1,0000E+03
2,001;961,61000;10,00;10,00;Einlass;;b'0, 9,6161E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6161E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6161E+02,2, 1,3652E+00,5, 1,0000E+03
3,001;961,18000;10,00;10,00;Einlass;;b'0, 9,6118E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,6118E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,6118E+02,2, 1,3652E+00,5, 1,0000E+03
4,002;869,81000;10,00;10,00;Einlass;;b'0, 8,6981E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,6981E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,6981E+02,2, 1,3652E+00,5, 1,0000E+03
5,003;887,48000;10,00;10,00;Einlass;;b'0, 8,8748E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,8748E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,8748E+02,2, 1,3652E+00,5, 1,0000E+03
6,003;893,31000;10,00;10,00;Einlass;;b'0, 8,9331E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9331E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9331E+02,2, 1,3652E+00,5, 1,0000E+03
7,003;894,31000;10,00;10,00;Einlass;;b'0, 8,9431E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9431E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9431E+02,2, 1,3652E+00,5, 1,0000E+03
8,004;894,63000;10,00;10,00;Einlass;;b'0, 8,9463E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9463E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9463E+02,2, 1,3652E+00,5, 1,0000E+03
9,004;894,87000;10,00;10,00;Einlass;;b'0, 8,9487E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9487E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9487E+02,2, 1,3652E+00,5, 1,0000E+03
10,005;895,09000;10,00;10,00;Einlass;;b'0, 8,9509E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9509E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9509E+02,2, 1,3652E+00,5, 1,0000E+03
11,007;895,24000;10,00;10,00;Einlass;;b'0, 8,9524E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9524E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9524E+02,2, 1,3652E+00,5, 1,0000E+03
12,007;895,36000;10,00;10,00;Einlass;;b'0, 8,9536E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9536E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9536E+02,2, 1,3652E+00,5, 1,0000E+03
13,009;895,47000;10,00;10,00;Einlass;;b'0, 8,9547E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9547E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9547E+02,2, 1,3652E+00,5, 1,0000E+03
14,009;895,56000;10,00;10,00;Einlass;;b'0, 8,9556E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9556E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9556E+02,2, 1,3652E+00,5, 1,0000E+03
15,010;895,67000;10,00;10,00;Einlass;;b'0, 8,9567E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9567E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9567E+02,2, 1,3652E+00,5, 1,0000E+03
